product,subproduct,site,rows,n_samples,date_min,date_max,span_days,expected_samples,completeness_pct,mean_interval_h,median_interval_h,p95_interval_h,max_gap_days,notes
NephelProcd,HourlyScaPM10,USNO,15295,15295.0,2022-08-03,2024-08-03,730.8,17540.0,87.2,1.15,1.0,1.0,21.2,
NephelProcd,HourlyScaPM10,VNHN,422,422.0,2019-11-28,2020-08-18,264.3,6345.0,6.7,15.07,1.0,20.0,163.6,
NephelProcd,HourlyScaPM10,ZAPR,9565,9565.0,2019-04-03,2022-01-10,1012.8,24308.0,39.3,2.54,1.0,1.0,201.8,
NephelProcd,HourlyScaPM25,AEAZ,14138,14138.0,2019-11-25,2023-11-24,1459.7,35034.0,40.4,2.48,1.0,1.0,689.9,
NephelProcd,HourlyScaPM25,AUMN,15729,15729.0,2022-07-21,2024-06-24,704.1,16900.0,93.1,1.07,1.0,1.0,10.0,
NephelProcd,HourlyScaPM25,CADO,16712,16712.0,2017-07-10,2019-09-05,786.8,18883.0,88.5,1.13,1.0,1.0,51.2,
NephelProcd,HourlyScaPM25,CAHA,18037,18037.0,2017-04-13,2022-04-06,1819.0,43656.0,41.3,2.42,1.0,1.0,390.1,
NephelProcd,HourlyScaPM25,CAKE,2374,2374.0,2017-11-01,2019-11-14,742.9,17830.0,13.3,7.51,1.0,1.0,404.1,
NephelProcd,HourlyScaPM25,CALE,7276,7276.0,2017-08-30,2019-05-14,622.0,14928.0,48.7,2.05,1.0,1.0,37.9,
NephelProcd,HourlyScaPM25,CASH,51911,51911.0,2017-04-25,2024-11-25,2770.8,66501.0,78.1,1.28,1.0,1.0,86.5,
NephelProcd,HourlyScaPM25,CHTS,15096,15096.0,2019-04-23,2022-06-12,1146.5,27516.0,54.9,1.82,1.0,1.0,171.9,
NephelProcd,HourlyScaPM25,CODC,3238,3238.0,2019-10-08,2020-09-11,339.3,8144.0,39.8,2.52,1.0,1.0,151.5,
NephelProcd,HourlyScaPM25,ILNZ,11833,11833.0,2017-07-18,2025-02-13,2767.0,66409.0,17.8,5.61,1.0,1.0,872.2,
NephelProcd,HourlyScaPM25,INKA,837,837.0,2019-10-21,2019-11-25,35.0,841.0,99.5,1.0,1.0,1.0,0.2,
NephelProcd,HourlyScaPM25,KRSE,3142,3142.0,2018-09-18,2021-03-16,909.8,21837.0,14.4,6.95,1.0,1.0,739.0,
NephelProcd,HourlyScaPM25,KRUL,7377,7377.0,2021-09-03,2023-01-06,489.9,11758.0,62.7,1.59,1.0,1.0,103.6,
NephelProcd,HourlyScaPM25,MXMC,11022,11022.0,2021-02-17,2023-08-07,900.7,21618.0,51.0,1.96,1.0,3.0,103.8,
NephelProcd,HourlyScaPM25,NGIL,1267,1267.0,2019-04-26,2020-10-16,539.0,12937.0,9.8,10.22,1.0,1.0,209.2,
NephelProcd,HourlyScaPM25,PHMO,18598,18598.0,2019-10-23,2023-05-02,1286.5,30878.0,60.2,1.66,1.0,1.0,126.9,
NephelProcd,HourlyScaPM25,SGSU,3907,3907.0,2019-08-02,2020-01-28,179.7,4313.0,90.6,1.1,1.0,1.0,1.0,
NephelProcd,HourlyScaPM25,USNO,15244,15244.0,2022-08-03,2024-08-03,730.8,17540.0,86.9,1.15,1.0,1.0,21.1,
NephelProcd,HourlyScaPM25,VNHN,192,192.0,2019-11-28,2020-08-10,256.7,6162.0,3.1,32.26,1.0,1.0,173.5,
NephelProcd,HourlyScaPM25,ZAPR,7794,7794.0,2019-04-03,2022-01-01,1003.7,24089.0,32.4,3.09,1.0,1.0,203.0,
TimeResPM25,DailyEstPM25,AEAZ,610,610.0,2019-11-25,2023-10-05,1410.0,1411.0,43.2,55.57,24.0,24.0,690.0,
TimeResPM25,DailyEstPM25,ARCB,784,784.0,2014-10-02,2017-01-23,844.0,845.0,92.8,25.87,24.0,24.0,9.0,
TimeResPM25,DailyEstPM25,AUMN,674,674.0,2022-08-09,2024-06-24,685.0,686.0,98.3,24.43,24.0,24.0,10.0,
TimeResPM25,DailyEstPM25,BDDU,232,232.0,2013-10-24,2015-09-21,697.0,698.0,33.2,72.42,24.0,24.0,305.0,
TimeResPM25,DailyEstPM25,CADO,728,728.0,2017-07-12,2019-09-05,785.0,786.0,92.6,25.91,24.0,24.0,51.0,
TimeResPM25,DailyEstPM25,CAHA,759,759.0,2017-10-26,2022-04-06,1623.0,1624.0,46.7,51.39,24.0,48.0,390.0,
TimeResPM25,DailyEstPM25,CAKE,106,106.0,2017-11-10,2019-11-14,734.0,735.0,14.4,167.77,24.0,24.0,404.0,
TimeResPM25,DailyEstPM25,CALE,385,385.0,2017-08-30,2019-05-14,622.0,623.0,61.8,38.88,24.0,92.4,38.0,
TimeResPM25,DailyEstPM25,CASH,2238,2238.0,2017-06-28,2024-08-12,2602.0,2603.0,86.0,27.92,24.0,24.0,87.0,
TimeResPM25,DailyEstPM25,CHTS,1787,1787.0,2014-05-28,2022-06-12,2937.0,2938.0,60.8,39.47,24.0,24.0,623.0,
TimeResPM25,DailyEstPM25,IDBD,425,425.0,2016-08-01,2018-01-29,546.0,547.0,77.7,30.91,24.0,24.0,56.0,
TimeResPM25,DailyEstPM25,ILNZ,998,987.0,2015-02-13,2021-11-19,2471.0,2472.0,39.9,60.15,24.0,24.0,680.0,
TimeResPM25,DailyEstPM25,INKA,263,263.0,2013-12-16,2019-11-25,2170.0,2171.0,12.1,198.78,24.0,24.0,1770.0,
TimeResPM25,DailyEstPM25,KRSE,123,123.0,2020-10-12,2021-03-16,155.0,156.0,78.8,30.49,24.0,24.0,31.0,
TimeResPM25,DailyEstPM25,KRUL,267,267.0,2021-10-28,2023-01-06,435.0,436.0,61.2,39.25,24.0,24.0,104.0,
TimeResPM25,DailyEstPM25,MXMC,579,579.0,2021-02-26,2023-05-31,824.0,825.0,70.2,34.21,24.0,48.0,104.0,
TimeResPM25,DailyEstPM25,NGIL,189,189.0,2014-06-20,2020-10-13,2307.0,2308.0,8.2,294.51,24.0,278.4,1232.0,
TimeResPM25,DailyEstPM25,SGSU,738,738.0,2016-04-05,2020-01-28,1393.0,1394.0,52.9,45.36,24.0,24.0,623.0,
TimeResPM25,DailyEstPM25,USNO,174,174.0,2023-02-21,2023-09-15,206.0,207.0,84.1,28.58,24.0,24.0,22.0,
TimeResPM25,DailyEstPM25,VNHN,119,119.0,2015-05-22,2020-06-23,1859.0,1860.0,6.4,378.1,24.0,48.0,1534.0,
TimeResPM25,DailyEstPM25,ZAPR,458,458.0,2015-10-18,2021-12-04,2239.0,2240.0,20.4,117.58,24.0,28.8,1065.0,
TimeResPM25,HourlyEstPM25,AEAZ,12684,12684.0,2019-11-25,2023-10-05,1410.2,33847.0,37.5,2.67,1.0,1.0,689.9,
TimeResPM25,HourlyEstPM25,ARCB,11417,11417.0,2014-10-02,2017-01-23,844.2,20261.0,56.3,1.77,1.0,5.0,9.0,
TimeResPM25,HourlyEstPM25,AUMN,15052,15052.0,2022-08-09,2024-06-24,685.2,16446.0,91.5,1.09,1.0,1.0,10.0,
TimeResPM25,HourlyEstPM25,BDDU,2753,2753.0,2013-10-24,2015-09-21,696.9,16727.0,16.5,6.08,2.0,5.0,305.2,
TimeResPM25,HourlyEstPM25,CADO,14755,14754.0,2017-07-12,2019-09-05,785.1,18843.0,78.3,1.28,1.0,1.0,51.2,
TimeResPM25,HourlyEstPM25,CAHA,12671,12671.0,2017-10-26,2022-04-06,1623.0,38954.0,32.5,3.07,1.0,1.0,390.1,
TimeResPM25,HourlyEstPM25,CAKE,2103,2103.0,2017-11-10,2019-11-14,733.8,17612.0,11.9,8.38,1.0,1.0,404.1,
TimeResPM25,HourlyEstPM25,CALE,7055,7055.0,2017-08-30,2019-05-14,622.0,14928.0,47.3,2.12,1.0,1.0,37.9,
TimeResPM25,HourlyEstPM25,CASH,39941,39940.0,2017-06-28,2024-08-12,2602.1,62452.0,64.0,1.56,1.0,2.0,87.1,
TimeResPM25,HourlyEstPM25,CHTS,35518,35518.0,2014-05-28,2022-06-12,2937.5,70501.0,50.4,1.98,1.0,1.0,623.1,
TimeResPM25,HourlyEstPM25,IDBD,5133,5133.0,2016-08-01,2018-01-29,545.7,13098.0,39.2,2.55,1.0,12.0,56.0,
TimeResPM25,HourlyEstPM25,ILNZ,19320,19165.0,2015-02-13,2021-11-19,2470.9,59303.0,32.3,3.09,1.0,1.0,680.2,
TimeResPM25,HourlyEstPM25,INKA,4051,4051.0,2013-12-16,2019-11-25,2170.0,52082.0,7.8,12.86,1.0,4.0,1769.9,
TimeResPM25,HourlyEstPM25,KRSE,2665,2665.0,2020-10-12,2021-03-16,154.9,3718.0,71.7,1.4,1.0,1.0,30.9,
TimeResPM25,HourlyEstPM25,KRUL,5430,5430.0,2021-10-28,2023-01-06,435.2,10445.0,52.0,1.92,1.0,1.0,104.0,
TimeResPM25,HourlyEstPM25,MXMC,8727,8726.0,2021-02-26,2023-05-31,824.1,19779.0,44.1,2.27,1.0,3.0,103.8,
TimeResPM25,HourlyEstPM25,NGIL,2562,2562.0,2014-06-20,2020-10-13,2306.7,55362.0,4.6,21.62,1.0,8.0,1231.8,
TimeResPM25,HourlyEstPM25,SGSU,13801,13800.0,2016-04-05,2020-01-28,1393.4,33442.0,41.3,2.42,1.0,1.0,622.8,
TimeResPM25,HourlyEstPM25,USNO,3824,3824.0,2023-02-21,2023-09-15,206.1,4947.0,77.3,1.29,1.0,1.0,21.1,
TimeResPM25,HourlyEstPM25,VNHN,1481,1481.0,2015-05-22,2020-06-23,1859.2,44622.0,3.3,30.15,1.0,10.05,1533.9,
TimeResPM25,HourlyEstPM25,ZAPR,8103,8103.0,2015-10-18,2021-12-04,2239.3,53745.0,15.1,6.63,1.0,2.0,1065.1,
