product,subproduct,parameter,AEAZ,ARCB,AUMN,BDDU,BIBU,CADO,CAHA,CAKE,CALE,CASH,CHTS,CLST,CLTA,ETAD,ETBI,IDBD,ILHA,ILNZ,INDH,INJA,INKA,KRSE,KRUL,MXMC,NGIL,PHMO,PRFJ,SGSU,TWKA,TWTA,USBO,USMC,USNO,USPA,VNHN,ZAJB,ZAPR,TOTAL_rows,n_sites
FilterBased,ChemSpecPM25,Barium PM2.5,0.0,43.0,0.0,51.0,0.0,58.0,21.0,18.0,8.0,23.0,137.0,0.0,0.0,0.0,0.0,62.0,0.0,51.0,0.0,0.0,25.0,0.0,0.0,0.0,15.0,12.0,0.0,31.0,0.0,0.0,11.0,19.0,0.0,0.0,10.0,0.0,5.0,600.0,18
FilterBased,ChemSpecPM25,Bromide Ion PM2.5,7.0,43.0,2.0,43.0,0.0,59.0,84.0,18.0,0.0,35.0,178.0,8.0,6.0,2.0,0.0,72.0,4.0,59.0,9.0,0.0,25.0,0.0,3.0,3.0,15.0,12.0,0.0,42.0,1.0,2.0,11.0,0.0,0.0,15.0,6.0,6.0,21.0,791.0,29
FilterBased,ChemSpecPM25,Cadmium PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,7.0,19.0,23.0,256.0,22.0,210.0,269.0,4019.0,37
FilterBased,ChemSpecPM25,Calcium Ion PM2.5,157.0,43.0,43.0,112.0,37.0,70.0,159.0,18.0,13.0,104.0,399.0,248.0,96.0,276.0,26.0,104.0,196.0,288.0,139.0,75.0,39.0,79.0,132.0,50.0,60.0,12.0,55.0,50.0,177.0,252.0,11.0,0.0,30.0,289.0,22.0,203.0,247.0,4311.0,36
FilterBased,ChemSpecPM25,Calcium PM2.5,141.0,0.0,63.0,54.0,37.0,12.0,108.0,0.0,13.0,70.0,214.0,163.0,80.0,246.0,34.0,44.0,178.0,225.0,110.0,47.0,14.0,83.0,130.0,59.0,47.0,0.0,55.0,13.0,160.0,258.0,0.0,0.0,23.0,256.0,12.0,210.0,264.0,3423.0,32
FilterBased,ChemSpecPM25,Cerium PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,11.0,18.0,23.0,256.0,22.0,210.0,269.0,4022.0,37
FilterBased,ChemSpecPM25,Chlorine PM2.5,141.0,0.0,63.0,54.0,37.0,12.0,108.0,0.0,13.0,70.0,214.0,163.0,80.0,246.0,34.0,44.0,178.0,225.0,110.0,47.0,14.0,83.0,130.0,59.0,47.0,0.0,55.0,13.0,160.0,258.0,0.0,0.0,23.0,256.0,12.0,210.0,264.0,3423.0,32
FilterBased,ChemSpecPM25,Chromium PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,11.0,19.0,23.0,256.0,22.0,210.0,269.0,4023.0,37
FilterBased,ChemSpecPM25,Cobalt PM2.5,141.0,38.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,345.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,11.0,19.0,23.0,256.0,22.0,210.0,269.0,4012.0,37
FilterBased,ChemSpecPM25,Copper PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,11.0,19.0,23.0,256.0,22.0,210.0,269.0,4023.0,37
FilterBased,ChemSpecPM25,EC PM2.5,150.0,0.0,63.0,60.0,37.0,28.0,128.0,0.0,13.0,83.0,206.0,163.0,80.0,246.0,34.0,43.0,178.0,227.0,110.0,47.0,15.0,83.0,131.0,59.0,51.0,0.0,55.0,13.0,160.0,260.0,0.0,0.0,23.0,217.0,12.0,212.0,264.0,3451.0,32
