site,population,scheme,block,metadata_field,reported_value,n,ec_min,ec_max,mdl_min,mdl_max,ols_mean_signed_error,ols_mae,ols_rmse,median_mean_signed_error,median_mae,median_rmse,mae_improvement,mae_improvement_pct
Addis_Ababa,mdl_2x,leave_quarter_out,2023Q3,ftir_AnalysisDate,2024-02-20,8,3.43937872823145,10.5333537907337,0.404947794517731,0.414270916914035,3.683312475523633,5.921383486079409,6.640953672140583,-3.7146670800000035,9.155381539999999,12.197421146900377,3.2339980539205895,35.32346565559506
Addis_Ababa,mdl_2x,leave_quarter_out,2023Q4,ftir_AnalysisDate,2024-02-20,8,2.23594182575397,4.14642906938964,0.404947794517731,0.419307645387154,-0.6473023642267686,2.0513470918059964,2.4040318050636444,6.490926827499998,6.490926827499998,7.6590378857790435,4.439579735694002,68.39669978846334
Addis_Ababa,mdl_2x,leave_quarter_out,2023Q4,ftir_AnalysisDate,2024-04-19,14,2.47654432859347,3.97699446915086,0.409759055442694,0.414270916914035,0.4333011800158708,3.184544305226165,3.8645063153848445,7.582309410714286,7.892246765,9.123156275346487,4.707702459773835,59.64971192552208
Addis_Ababa,mdl_2x,leave_quarter_out,2023Q4,ftir_AnalysisDate,2024-07-24,4,2.90358905097997,3.66620421724724,0.409759055442694,0.409759055442694,0.3502095737177662,1.3482304296733147,1.8677014273924402,7.3684176375,7.3684176375,7.882901942821836,6.020187207826686,81.70257854533405
Addis_Ababa,mdl_2x,leave_quarter_out,2024Q1,ftir_AnalysisDate,2024-07-24,17,2.48704222244508,6.96258987683994,0.404947794517731,0.431325321518625,3.6396475094374914,4.90756620185194,6.15006966260362,4.980176391764704,8.319239827058821,10.26359154323801,3.4116736252068813,41.00943951766134
Addis_Ababa,mdl_2x,leave_quarter_out,2024Q1,ftir_AnalysisDate,2024-07-25,7,2.72681139406893,5.23333719462994,0.409759055442694,0.414270916914035,0.9479517268005202,3.842211780165169,5.386479517368096,5.014283191428569,6.577259291428569,7.401645512807523,2.7350475112634,41.58339195822327
Addis_Ababa,mdl_2x,leave_quarter_out,2024Q1,ftir_AnalysisDate,2024-08-15,7,2.42463370413565,5.62476422114748,0.409759055442694,0.414270916914035,0.06516512282322294,1.9107409131953301,2.3686327763881625,4.4154305299999965,6.051432669999999,7.318817846507395,4.140691756804669,68.42498268768922
Addis_Ababa,mdl_2x,leave_quarter_out,2024Q2,ftir_AnalysisDate,2024-08-15,7,2.93608135081302,6.25503100441188,0.404947794517731,0.409759055442694,2.072699895032854,5.702277401563256,6.140717964946312,-0.5550486835714342,6.981073146428571,8.347081177859957,1.2787957448653149,18.318039620019317
Addis_Ababa,mdl_2x,leave_quarter_out,2024Q2,ftir_AnalysisDate,2024-11-07,7,3.91441145026595,6.85379189359859,0.409759055442694,0.409759055442694,-5.164921076599291,5.411733694817481,6.522915892336471,-9.157627272142863,9.157627272142863,11.511564061536648,3.745893577325382,40.90463027164515
Addis_Ababa,mdl_2x,leave_quarter_out,2024Q2,ftir_AnalysisDate,2025-03-05,9,4.56833700824436,11.7351130556244,0.409759055442694,0.424033448767542,-0.19888467418797656,2.266428427766357,3.127437697411477,-14.76749320833334,14.76749320833334,16.353187698614338,12.501064780566983,84.65258527095577
Addis_Ababa,mdl_2x,leave_quarter_out,2024Q3,ftir_AnalysisDate,2025-03-05,19,3.43072578969257,11.136414801705,0.404947794517731,1.43700224304556,1.892561903944733,5.664238125907318,7.859825552923681,-10.248394838421058,12.031616664736847,15.694884734253044,6.367378538829529,52.92205292320785
Addis_Ababa,mdl_2x,later_period,2023Q2,ftir_AnalysisDate,2023-08-10,7,1.90446116072198,4.13586201342062,0.409759055442694,0.409759055442694,2.98957759389074,3.144649939731815,4.005876449416452,2.9590184978571417,4.273775100714285,5.724652998569515,1.1291251609824697,26.419854446570124
