site,population,variant,scheme,ols_mean_signed_error,ols_mae,ols_rmse,median_mean_signed_error,median_mae,median_rmse,mae_improvement,mae_improvement_pct,evaluated_filters,evaluated_blocks,nonempty_blocks,unavailable_nonempty_blocks,improved_blocks,equal_block_mean_mae_improvement,worst_block_mae_improvement,best_block_mae_improvement
Beijing,mdl_5x,baseline,leave_quarter_out,-0.16221525337424822,3.7653084014859464,4.460264403704361,0.17991241433333366,5.272135986333336,6.451795623370395,1.50682758484739,28.58096962509038,30,8,8,0,6,1.1153257631412457,-1.7425779542447977,3.8980158243906984
Beijing,mdl_5x,baseline,later_period,0.0058041772515275095,3.5641685511504955,4.289777205789176,1.2028838630000007,4.178044579000001,4.97217938453257,0.6138760278495052,14.692902774063606,20,6,8,2,4,0.5780599810300517,-1.9011170133262567,2.392166398690992
Delhi,diagnostic,baseline,leave_quarter_out,-1.7787905312651473,14.533532348333708,17.935566127934905,-4.788562229887096,28.88950062817742,33.25611481649845,14.355968279843712,49.69268408136344,62,5,5,0,5,14.777953408563587,9.427530809114753,21.013234069975724
Delhi,diagnostic,baseline,later_period,-15.29833755074531,15.934420943249956,20.741355437811215,-29.711419194342103,31.149934068815785,36.910632107936,15.21551312556583,48.84605242486881,38,3,5,2,2,14.517896426234818,-1.0382890970388008,30.316341763822567
Delhi,ratio_baseline,baseline,leave_quarter_out,-1.6961120647158459,12.288689641189793,15.370252967608236,-6.393456164624999,27.58539493091072,32.154967206404244,15.296705289720927,55.452188841350456,56,5,5,0,5,17.215694576233307,12.023124497669926,23.952050160204294
Delhi,ratio_baseline,baseline,later_period,-11.0989381243807,12.744304093982246,16.76129001621661,-28.601299797638887,30.77795560736112,36.37000305707742,18.03365151337887,58.592753019195946,36,3,5,2,3,19.474912759693332,11.502769552546575,31.65826899399348
Delhi,mdl_1_5x,baseline,leave_quarter_out,-1.5273765529127463,12.820482246669544,15.81918523562739,-7.280124412113208,27.11859744656603,31.85015226714689,14.298115199896488,52.72439044116947,53,5,5,0,5,15.730960641773724,8.687534573976391,22.308510209558225
Delhi,mdl_1_5x,baseline,later_period,-11.525655212628939,13.080847056729942,17.02947280937099,-30.139454849852942,31.398838917499997,36.69366961566108,18.317991860770057,58.339710932943476,34,3,5,2,3,19.03246028486834,11.259509207386987,30.063277875835972
Delhi,mdl_2x,baseline,leave_quarter_out,-1.7546083784951576,12.816815965229303,15.812356558942033,-6.935822100653847,25.833118477615383,30.620733239488022,13.01630251238608,50.386106205740575,52,5,5,0,5,14.897601579067416,7.739493328077135,22.12208022656524
Delhi,mdl_2x,baseline,later_period,-11.488743661730734,13.03717023086504,16.970788410384475,-28.320142012499996,29.850241360735293,35.215514881698006,16.813071129870252,56.32474098512984,34,3,5,2,3,18.30000954805847,11.763118956850196,29.348868879456884
Delhi,mdl_3x,baseline,leave_quarter_out,-1.6795286313381743,13.553717702150202,16.406397219390584,-5.9858834724999985,22.654103331818177,27.577796721907927,9.100385629667976,40.17102551521555,44,5,5,0,5,10.48433489867964,3.238605409538689,19.20957975560616
Delhi,mdl_3x,baseline,later_period,-11.932466807591853,13.376596044726465,17.19386668539141,-27.031335096034475,27.700389037413785,32.57680668029243,14.32379299268732,51.709717770897576,29,3,5,2,3,20.491838949268473,9.761317617250473,26.448021265852912
Delhi,mdl_5x,baseline,leave_quarter_out,-0.6923358551199499,14.347663579550277,17.509955854557276,-1.5602475062499999,20.693188215,24.82213123444562,6.345524635449722,30.664799302651698,32,5,5,0,5,8.149584232496574,1.1941300204413405,20.30858391552035
Delhi,mdl_5x,baseline,later_period,-11.649221167404361,13.149030094504115,17.391893076582154,-23.225182611590903,23.90578650886363,27.53682631923453,10.756756414359517,44.9964547720327,22,3,5,2,3,14.85335156525025,5.6373570974299305,19.8004906922616
JPL,diagnostic,baseline,leave_quarter_out,0.04811278469702475,1.3276719690130887,1.5856736759489285,0.018993534646153862,1.7444495399153845,2.1837046523789674,0.41677757090229584,23.891638099346334,130,6,6,0,6,0.6341269969134573,0.09854834684813696,1.8566065429834768
JPL,diagnostic,baseline,later_period,0.23874213371100791,1.369749166361324,1.5961306220813967,0.3461667193490563,1.8618391632735847,2.3013268276861694,0.49208999691226074,26.430317216393814,106,5,6,1,5,0.6618417437097855,0.09993882106857943,1.4306774036867542
JPL,ratio_baseline,baseline,leave_quarter_out,0.025785509783253103,1.3039290514586934,1.6004473932392322,-0.05978676017857128,1.4424339779285715,1.8139956032378115,0.1385049264698781,9.602167488371297,84,6,6,0,5,0.3242808823731826,-0.04673624058975201,1.369800498448074
JPL,ratio_baseline,baseline,later_period,0.1539552063830879,1.4054214056269871,1.6110656378316135,0.055253179393939325,1.5227338326363635,1.857808722665981,0.11731242700937639,7.704066495079392,66,5,6,1,4,0.21292261471589766,-0.017029523503042654,0.45752396253498495
