site,population,scheme,ftir_CalibrationSetId,n,reported_date_min,reported_date_max,ec_min,ec_max,mean_signed_error,mae,mdl_min,mdl_max
Beijing,mdl_2x,leave_quarter_out,17,15,2022-07-05,2023-04-09,0.932718395317729,3.43490264120989,-0.3120257564293085,2.5920336225576563,0.459100108602086,0.46373748343645
Beijing,mdl_2x,leave_quarter_out,11,98,2023-01-13,2024-11-20,0.82787263380431,5.65963705476437,0.07203997749589082,3.326888234308637,0.409759055442694,0.475697294249564
Beijing,mdl_2x,later_period,17,2,2023-04-03,2023-04-09,1.52552927667091,2.5564123917451,-1.080413774038795,1.2002150379101169,0.459100108602086,0.46373748343645
Beijing,mdl_2x,later_period,11,91,2023-04-13,2024-11-20,0.82787263380431,4.1246073597929,0.5415715946299838,3.333363863438136,0.409759055442694,0.475697294249564
Beijing,mdl_3x,leave_quarter_out,17,9,2022-07-23,2023-04-09,1.50513248169022,3.43490264120989,-1.1868999821240425,3.2615451207959896,0.459100108602086,0.46373748343645
Beijing,mdl_3x,leave_quarter_out,11,63,2023-01-13,2024-11-02,1.27809062922122,5.65963705476437,0.13429900250542673,4.090085351150028,0.409759055442694,0.475697294249564
Beijing,mdl_3x,later_period,17,2,2023-04-03,2023-04-09,1.52552927667091,2.5564123917451,0.3723095017162441,1.650182293070169,0.459100108602086,0.46373748343645
Beijing,mdl_3x,later_period,11,57,2023-04-13,2024-11-02,1.27809062922122,4.1246073597929,1.1052545664724456,4.395517370390148,0.409759055442694,0.475697294249564
Beijing,mdl_5x,leave_quarter_out,11,25,2023-02-17,2024-11-02,2.0991203446327,5.65963705476437,0.4922654677476672,3.831446309986372,0.414270916914035,0.475697294249564
Beijing,mdl_5x,leave_quarter_out,17,5,2023-03-03,2023-04-09,2.44205758829968,3.43490264120989,-3.434618858983826,3.434618858983826,0.46373748343645,0.46373748343645
Beijing,mdl_5x,later_period,11,20,2023-08-10,2024-11-02,2.17903187195365,4.1246073597929,0.0058041772515275095,3.5641685511504955,0.414270916914035,0.475697294249564
Delhi,diagnostic,leave_quarter_out,17,15,2022-07-17,2023-02-12,0.398316439892043,7.32383405664732,13.888569012042995,13.888569012042991,0.46373748343645,0.513289507738195
Delhi,diagnostic,leave_quarter_out,11,47,2023-03-08,2024-06-30,-4.00417792721577,12.3341071250393,-6.7790116621081715,14.73937171097968,0.418037016158708,0.950484163055588
Delhi,diagnostic,later_period,11,38,2023-04-03,2024-06-30,-4.00417792721577,12.3341071250393,-15.298337550745313,15.934420943249956,0.422302699997062,0.950484163055588
Delhi,ratio_baseline,leave_quarter_out,17,12,2022-07-17,2023-02-12,0.698868573537991,7.32383405664732,9.875292722036287,9.875292722036287,0.46373748343645,0.513289507738195
Delhi,ratio_baseline,leave_quarter_out,11,44,2023-03-08,2024-06-30,0.623923004582532,12.3341071250393,-4.851949733830064,12.946888800958932,0.418037016158708,0.950484163055588
Delhi,ratio_baseline,later_period,11,36,2023-04-03,2024-06-30,0.623923004582532,12.3341071250393,-11.0989381243807,12.744304093982246,0.422302699997062,0.950484163055588
Delhi,mdl_1_5x,leave_quarter_out,17,11,2022-07-17,2023-02-12,0.889581570768424,7.32383405664732,10.852584418415784,10.852584418415786,0.46373748343645,0.512649082073899
Delhi,mdl_1_5x,leave_quarter_out,11,42,2023-03-08,2024-06-30,1.0808941144695,12.3341071250393,-4.7697472834987895,13.33588405883124,0.418037016158708,0.950484163055588
Delhi,mdl_1_5x,later_period,11,34,2023-04-06,2024-06-30,1.10052228600158,12.3341071250393,-11.525655212628939,13.080847056729942,0.422302699997062,0.950484163055588
Delhi,mdl_2x,leave_quarter_out,17,10,2022-07-17,2023-02-12,1.16211772907362,7.32383405664732,10.687847178640832,10.687847178640832,0.46373748343645,0.512649082073899
Delhi,mdl_2x,leave_quarter_out,11,42,2023-03-08,2024-06-30,1.0808941144695,12.3341071250393,-4.71709779686087,13.32371329536941,0.418037016158708,0.950484163055588
Delhi,mdl_2x,later_period,11,34,2023-04-06,2024-06-30,1.10052228600158,12.3341071250393,-11.488743661730734,13.03717023086504,0.422302699997062,0.950484163055588
Delhi,mdl_3x,leave_quarter_out,17,9,2022-07-17,2023-02-12,1.65704827527958,7.32383405664732,12.56239679212106,12.56239679212106,0.46373748343645,0.512649082073899
Delhi,mdl_3x,leave_quarter_out,11,35,2023-03-11,2024-06-30,1.75362115274698,12.3341071250393,-5.341738025941979,13.808628793300551,0.418037016158708,0.903321283416175
Delhi,mdl_3x,later_period,11,29,2023-04-15,2024-06-30,2.57963092947566,12.3341071250393,-11.932466807591855,13.376596044726465,0.426656336079506,0.903321283416175
Delhi,mdl_5x,leave_quarter_out,17,5,2022-07-17,2023-02-12,2.56845877204541,7.32383405664732,15.827053925944298,15.827053925944298,0.46373748343645,0.488404370853283
Delhi,mdl_5x,leave_quarter_out,11,27,2023-03-11,2024-05-26,3.0147589690954,12.3341071250393,-3.7514821108725878,14.073702404292126,0.418037016158708,0.871277149467622
Delhi,mdl_5x,later_period,11,22,2023-04-15,2024-05-26,4.37687779441836,12.3341071250393,-11.649221167404361,13.149030094504115,0.426656336079506,0.871277149467622
JPL,diagnostic,leave_quarter_out,11,116,2022-07-22,2023-11-14,0.146888658581806,1.1439056585426,-0.08995035882676955,1.344038382217095,0.405741809801099,0.431100672913667
JPL,diagnostic,leave_quarter_out,17,14,2023-02-23,2023-04-03,0.14347357874567,0.544966196596412,1.192064545322749,1.192064545322749,0.454554562972362,0.459100108602086
JPL,diagnostic,later_period,11,92,2022-10-02,2023-11-14,0.146888658581806,1.1439056585426,0.035069712003076584,1.338186510491484,0.405741809801099,0.431100672913667
JPL,diagnostic,later_period,17,14,2023-02-23,2023-04-03,0.14347357874567,0.544966196596412,1.577160904934557,1.5771609049345567,0.454554562972362,0.459100108602086
JPL,ratio_baseline,leave_quarter_out,11,80,2022-07-22,2023-11-14,0.41560361900875,1.1439056585426,-0.031965158487427425,1.310085560271785,0.405741809801099,0.431100672913667
JPL,ratio_baseline,leave_quarter_out,17,4,2023-02-26,2023-03-16,0.478638693535265,0.544966196596412,1.180798875196864,1.180798875196864,0.454554562972362,0.459100108602086
JPL,ratio_baseline,later_period,11,62,2022-10-02,2023-11-14,0.41560361900875,1.1439056585426,0.05528599557017608,1.3874919496040043,0.405741809801099,0.431100672913667
JPL,ratio_baseline,later_period,17,4,2023-02-26,2023-03-16,0.478638693535265,0.544966196596412,1.6833279739832212,1.683327973983221,0.454554562972362,0.459100108602086
JPL,mdl_1_5x,leave_quarter_out,11,28,2022-07-22,2023-11-05,0.628034405442686,1.1439056585426,0.11062850224954932,1.5781724161744382,0.405741809801099,0.431100672913667
JPL,mdl_1_5x,later_period,11,18,2023-04-10,2023-11-05,0.628034405442686,1.1439056585426,0.26154682170895427,1.6724033142550871,0.405741809801099,0.431100672913667
