site,n,median,p25,p75,network,ratio
FOCO2,97,12.854507724233342,10.231398291099785,14.616468693376284,IMPROVE,Fabs_EC
SHMI1,2270,12.884097810092838,9.704822228443447,17.395746122920585,IMPROVE,Fabs_EC
CACO1,2355,13.05445366029571,10.078867590824022,17.17259572204935,IMPROVE,Fabs_EC
CANY1,2361,13.059701492537313,9.405862987929142,17.65489673550966,IMPROVE,Fabs_EC
ZICA1,2385,13.09342105263158,9.800318510351588,17.430600387346676,IMPROVE,Fabs_EC
PORE1,1872,13.096532273617076,8.442242655349265,19.135060129509714,IMPROVE,Fabs_EC
COGO1,993,13.134765624999998,10.865428416485901,15.339074273412272,IMPROVE,Fabs_EC
OWVL1,1284,13.149272474379714,10.017422808506076,17.92683203020108,IMPROVE,Fabs_EC
BOAP1,2342,13.182827892361232,10.493357269429524,16.612421329281638,IMPROVE,Fabs_EC
WARI1,274,13.234389011383293,10.448808606251962,16.11461714427918,IMPROVE,Fabs_EC
SAGO1,2488,13.300029321875247,10.538772697730026,16.392364727424493,IMPROVE,Fabs_EC
NOGA1,1010,13.352041971235606,10.89802360874016,15.764518679458531,IMPROVE,Fabs_EC
SACR1,2456,13.362202910353401,10.60473845778045,17.30015688859391,IMPROVE,Fabs_EC
CHAS1,2288,13.406207425659659,11.0475241614287,16.565547000903315,IMPROVE,Fabs_EC
MAKA1,463,13.43460716828863,10.619049449634158,17.10310849103621,IMPROVE,Fabs_EC
PINN1,2506,13.592072082510594,10.695362304789146,17.188353514202475,IMPROVE,Fabs_EC
KPBO1,987,13.722126929674099,9.806871748725957,19.627592275687554,IMPROVE,Fabs_EC
PHOE1,2518,13.771913961230057,10.960073776941107,16.972691830543695,IMPROVE,Fabs_EC
IKBA1,2166,13.792882890327748,10.778007889262755,18.385221305326333,IMPROVE,Fabs_EC
SAGA1,1731,13.839602555003548,10.79973225112779,17.24900823924321,IMPROVE,Fabs_EC
CHIR1,2463,13.864818024263432,10.18778969841184,18.68264093214443,IMPROVE,Fabs_EC
PEFO1,2422,13.927309173490706,11.434581113875158,16.94995354202044,IMPROVE,Fabs_EC
BIBE1,2454,13.991873220599658,10.709768730426404,18.20397888697851,IMPROVE,Fabs_EC
CORI1,2557,14.00717955937214,11.377245508982035,17.33490566037736,IMPROVE,Fabs_EC
PHOE5,2277,14.069111424541608,11.128165771297006,17.25817675713292,IMPROVE,Fabs_EC
JOSH1,2501,14.147286821705427,11.031738855231033,17.450404114621602,IMPROVE,Fabs_EC
MAVI1,2419,14.184397163120567,11.092487485822758,18.321027873471106,IMPROVE,Fabs_EC
GUMO1,2380,14.188941730246686,10.751030719046453,18.99788353828577,IMPROVE,Fabs_EC
AGTI1,1992,14.207741664516682,11.346404040745885,17.11088586403842,IMPROVE,Fabs_EC
EVER1,2378,14.244691795737427,11.206134858293401,18.510361690992365,IMPROVE,Fabs_EC
RAFA1,1977,14.268632921482663,10.606060606060607,19.047619047619047,IMPROVE,Fabs_EC
TONT1,2458,14.285714285714285,11.086061868820806,18.439436407460363,IMPROVE,Fabs_EC
SYCA1,1367,14.357682619647354,11.452434669072744,18.91146446800157,IMPROVE,Fabs_EC
CAVE1,773,14.386061777246097,11.842105263157896,18.266313819144127,IMPROVE,Fabs_EC
TOOL1,575,14.62145676354503,8.97071647470668,22.295302676256377,IMPROVE,Fabs_EC
SIME1,1889,14.76510067114094,9.546728971962617,22.15868477483917,IMPROVE,Fabs_EC
QUVA1,1479,14.815762996087198,11.992719006750434,18.176739324658662,IMPROVE,Fabs_EC
