Method_Pair,Prefix,Dominance_Method,Source,Threshold,Low_n,Low_R2,Low_Slope,High_n,High_R2,High_Slope,Residual_Corr
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Sea Salt,0.5,14,0.8796786253779322,0.3907236875691208,7,0.6778514794958014,0.4428396946595264,0.11520548050806781
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Sea Salt,0.6,20,0.8838415307017216,0.41257471960545145,1,,,0.11520548050806781
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Sea Salt,0.7,21,0.8402470500189356,0.40191407162616954,0,,,0.11520548050806781
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Charcoal Burning,0.3,1,,,21,0.7369613630860457,1.3005396662543816,0.24551603906854388
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Charcoal Burning,0.3,0,,,38,0.6272627819060067,1.1046484250898918,-0.14099081398043836
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Charcoal Burning,0.4,7,0.8907019198020231,1.1620979282533954,15,0.6867191415229504,1.6586020823168044,0.24551603906854388
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Charcoal Burning,0.4,6,0.7420188382475608,1.762125441989097,32,0.65751283217483,1.1151560582306266,-0.14099081398043836
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Charcoal Burning,0.5,11,0.8151777179389234,0.9627729805538225,11,0.8611391115329667,2.0871221824808535,0.24551603906854388
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Charcoal Burning,0.5,17,0.6443969969767405,1.4227086356259258,21,0.6703748503899853,1.2062834940208615,-0.14099081398043836
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Charcoal Burning,0.6,19,0.722813588161689,1.2368795259520429,3,0.44070785885491803,1.4868513625614466,0.24551603906854388
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,Charcoal Burning,0.6,25,0.6015984191065783,0.9927886030411643,13,0.7708331405414145,1.8566530987247771,-0.14099081398043836
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,Charcoal Burning,0.7,22,0.7342863585495865,1.3076213028221553,0,,,0.24551603906854388
