SiteCode,n,slope,intercept,r2
FOCO1,522,7.45998044530859,0.7404610486917836,0.8426096895963889
FOPE1,2161,3.8373528457190376,0.9651155336219024,0.4559092492716167
FRES1,2271,5.993726722912384,3.020338432695318,0.7851329211589848
FRRE1,2427,7.576011752948922,1.0493063499230553,0.7322232485624751
GAAR1,596,1.708614587968616,0.5927094509051007,0.3821610264863738
GAMO1,1576,2.4894021564409257,0.6242498114487844,0.4812474239091535
GICL1,2305,4.731178822571118,0.6521975676261337,0.7276654822034635
GLAC1,2482,5.866106015324638,1.2291067062739023,0.6978762750773382
GRBA1,2329,7.500047522890509,0.2878724215237993,0.7232992434851889
GRCA2,2389,4.079032099969137,0.6467246457347773,0.5879152182502525
GRGU1,2374,8.009235925597608,0.36227778564980784,0.7030213902062722
GRRI1,2564,8.498215168205787,0.7175791247388532,0.7275743680920989
GRSA1,2453,8.690446435677684,0.2556177432536366,0.6953419702013225
GRSM1,2537,7.218294741191468,0.8953959310301808,0.6898487677343977
GUMO1,2380,8.246364027680016,0.6573838188246147,0.5253336664803329
HACR1,1326,9.49526661962757,0.13313994828234693,0.5144158784857569
HALE1,971,9.834262979671886,0.18799984739945405,0.6805607035104354
HAVO1,1774,5.552910506581426,0.11614243724760426,0.4221753122512587
HECA1,2287,4.342504433138044,0.8390492881796408,0.6009360833904782
HEGL1,2569,7.233815106992569,1.1012434011531718,0.6624753549312461
HILL1,266,8.270093147284554,0.40452955092247367,0.49842972901251414
HOOV1,2148,4.776143361666731,0.5417067275884327,0.7105216046072018
HOUS1,155,6.727830794255636,2.6883855614102763,0.7150838678788207
IKBA1,2166,8.21586725223872,0.6049792406458364,0.6865220709887065
INGA1,1057,7.207836191155907,0.544314984676893,0.7023475962320027
ISLE1,2389,3.6795152358595673,0.865468088092545,0.572209541421685
JARB1,2223,3.6435698606319544,0.6451177790074503,0.4379886893574368
JARI1,2582,6.368772274031683,1.8232722123563023,0.696745281805748
JOSH1,2501,8.002479976096543,0.8055017522191118,0.6542617681467467
KAIS1,1984,5.83987227367244,0.678625639936478,0.7198330970091036
KALM1,2428,2.0552671794500252,1.187767703084952,0.38527071396272494
KPBO1,987,6.369020700289345,0.39875196356529835,0.5798939749437537
LABE1,2237,2.1870205188176013,1.0473558827409932,0.40084589785169283
LASU1,212,6.466222380239825,1.1550785561957055,0.5956789338893622
LASU2,2087,7.563515873142034,0.8429911530140883,0.7132888640553725
LAVO1,2277,6.555662862651574,0.49142977174120733,0.5321249530587202
LIGO1,2505,6.891028754617614,0.8494118433488518,0.7240621159631452
LIVO1,926,5.509890291080111,1.542514474467367,0.6174837929963881
LOND1,1629,9.016306520325186,0.832985590707188,0.828943370068457
LOST1,2446,1.4048391484390792,1.8465670834210826,0.17034395872995411
LTCC1,1217,3.4632768694562848,1.7484209314222112,0.6009964601454847
LYBR1,1014,8.494114596157585,0.30955258756728005,0.7886849172342065
LYEB1,1422,8.620217408768756,0.38205480208210724,0.7390829041644892
MACA1,2582,7.721170076231485,1.2402962761654246,0.6818560567255728
MAKA1,463,9.358296720222084,0.5952875973536813,0.8209593826036555
MAKA2,1021,6.143062183281782,0.3177792999817443,0.7920816929955066
MAVI1,2419,9.238819170583831,0.6379537775740299,0.7951174050230558
MEAD1,1920,9.511986344020231,0.45594524240872697,0.5753524931810636
MELA1,2400,8.476363109356653,0.43614319573410093,0.7408928424780046
MEVE1,2440,8.283522818622085,0.27984690014978514,0.6723976770295085
MING1,2078,8.225913669304388,1.1401834338838694,0.727007955189094
MKGO1,944,6.382943812241932,1.5764395716924189,0.7235599643240427
MOHO1,2109,7.118712236425742,0.35635674866419226,0.7737740635677336
MOMO1,2581,8.975291263392366,0.612518653008841,0.7610354648756482
MONT1,2252,6.599807003363049,0.3219230910357788,0.7741247613731316
MOOS1,2394,6.297757825152159,0.651166252040198,0.7365684616444939
MORA1,2418,1.3403783727981136,1.6137137297260644,0.2771886910322959
MOZI1,2174,6.471977118845342,0.2793949922852212,0.76775925622169
NEBR1,2071,9.933505376879232,0.2784993770166072,0.7640875565496811
NEYO1,682,6.415424177926495,3.424482161112131,0.7211958947876306
NOAB1,1897,4.58051135842865,0.4027765328663271,0.6279149369171282
NOCA1,2061,1.2230756276435666,0.7962847524835219,0.308877516466295
NOCH1,2300,5.966687928483978,0.497300724829391,0.7456027583875331
NOGA1,1010,10.157520612038601,1.5573527160604854,0.4878728254737128
OKEF1,2550,6.634529866837432,1.2941662952962898,0.7219711741645779
OLTO1,382,5.967490195513845,1.711768113805123,0.6589434751311021
OLYM1,2475,3.7824546487806168,0.7101829420482805,0.489193015028237
OMAH1,513,8.953777291265721,0.5802097911162508,0.757557933480419
ORPI1,2496,9.528904114647839,0.5998423416644028,0.6588975006175624
OWVL1,1284,1.912609104465236,1.1217461930696642,0.4279819084298244
PACK1,2016,10.175000412064207,0.297172493573225,0.7610044076898944
PASA1,2055,1.9046187046999357,0.7526527359056481,0.4990447919358989
