"Site","Latitude","Longitude","Barcode","FilterId","SampleDate","FilterType","LotId","AnalysisDate","AnalysisTime","CalibrationSetId","DepositArea_cm2","Volume_m3","Parameter","MassLoading_ug","Concentration_ug_m3","MDL_ug_m3","Uncertainty_ug_m3","FilterComments"
"CHTS",40.004,116.326,"206115","CHTS-0684-3",2022-10-19,"PM2.5","251","2023-02-09","11:22:57","11",3.53,7.2,"EC_ftir",8.0834723119271,1.12270448776765,0.413856645997121,,
"CHTS",40.004,116.326,"206115","CHTS-0684-3",2022-10-19,"PM2.5","251","2023-02-09","11:22:57","12",3.53,7.2,"OC_ftir",42.0531460043942,5.84071472283253,0.871064091086527,,
"CHTS",40.004,116.326,"206115","CHTS-0684-3",2022-10-19,"PM2.5","251","2023-02-09","11:22:57","PF",3.53,7.2,"alcoholCOH",12.7312113891626,1.76822380405037,,,
"CHTS",40.004,116.326,"206115","CHTS-0684-3",2022-10-19,"PM2.5","251","2023-02-09","11:22:57","PF",3.53,7.2,"alkaneCH",58.1327872152559,8.0739982243411,,,
"CHTS",40.004,116.326,"206115","CHTS-0684-3",2022-10-19,"PM2.5","251","2023-02-09","11:22:57","PF",3.53,7.2,"naCO",4.95591219839083,0.688321138665393,,,
"CHTS",40.004,116.326,"206115","CHTS-0684-3",2022-10-19,"PM2.5","251","2023-02-09","11:22:57","PF",3.53,7.2,"carboxylicCOOH",34.0545968649287,4.72980512012899,,,
"CHTS",40.004,116.326,"206115","CHTS-0684-3",2022-10-19,"PM2.5","251","2023-02-09","11:22:57","PF",3.53,7.2,"OM",109.874507667738,15.2603482871858,,,
"CHTS",40.004,116.326,"206116","CHTS-0685-4",2022-10-22,"PM2.5","251","2023-02-09","11:28:18","11",3.53,7.2,"EC_ftir",3.57350855288812,0.496320632345572,0.413856645997121,,
"CHTS",40.004,116.326,"206116","CHTS-0685-4",2022-10-22,"PM2.5","251","2023-02-09","11:28:18","12",3.53,7.2,"OC_ftir",15.359703516873,2.13329215512125,0.871064091086527,,
"CHTS",40.004,116.326,"206116","CHTS-0685-4",2022-10-22,"PM2.5","251","2023-02-09","11:28:18","PF",3.53,7.2,"alcoholCOH",5.36680287811032,0.745389288626434,,,
"CHTS",40.004,116.326,"206116","CHTS-0685-4",2022-10-22,"PM2.5","251","2023-02-09","11:28:18","PF",3.53,7.2,"alkaneCH",6.43015568521651,0.893077178502293,,,
"CHTS",40.004,116.326,"206116","CHTS-0685-4",2022-10-22,"PM2.5","251","2023-02-09","11:28:18","PF",3.53,7.2,"naCO",2.87756848634413,0.399662289770018,,,
"CHTS",40.004,116.326,"206116","CHTS-0685-4",2022-10-22,"PM2.5","251","2023-02-09","11:28:18","PF",3.53,7.2,"carboxylicCOOH",1.41080358494998,0.195944942354163,,,
"CHTS",40.004,116.326,"206116","CHTS-0685-4",2022-10-22,"PM2.5","251","2023-02-09","11:28:18","PF",3.53,7.2,"OM",16.0853306346209,2.23407369925291,,,
"CHTS",40.004,116.326,"206118","CHTS-0687-6",2022-10-28,"PM2.5","251","2023-02-09","11:44:24","11",3.53,7.2,"EC_ftir",11.7283523166309,1.62893782175429,0.413856645997121,,
"CHTS",40.004,116.326,"206118","CHTS-0687-6",2022-10-28,"PM2.5","251","2023-02-09","11:44:24","12",3.53,7.2,"OC_ftir",27.0010694884843,3.75014854006726,0.871064091086527,,
"CHTS",40.004,116.326,"206118","CHTS-0687-6",2022-10-28,"PM2.5","251","2023-02-09","11:44:24","PF",3.53,7.2,"alcoholCOH",7.36498373855338,1.02291440813241,,,
"CHTS",40.004,116.326,"206118","CHTS-0687-6",2022-10-28,"PM2.5","251","2023-02-09","11:44:24","PF",3.53,7.2,"alkaneCH",28.3739867683019,3.94083149559748,,,
"CHTS",40.004,116.326,"206118","CHTS-0687-6",2022-10-28,"PM2.5","251","2023-02-09","11:44:24","PF",3.53,7.2,"naCO",3.84278767449196,0.533720510346105,,,
"CHTS",40.004,116.326,"206118","CHTS-0687-6",2022-10-28,"PM2.5","251","2023-02-09","11:44:24","PF",3.53,7.2,"carboxylicCOOH",13.3136937053396,1.84912412574161,,,
"CHTS",40.004,116.326,"206118","CHTS-0687-6",2022-10-28,"PM2.5","251","2023-02-09","11:44:24","PF",3.53,7.2,"OM",52.8954518866868,7.34659053981761,,,
"CHTS",40.004,116.326,"206215","CHTS-0690-1",2022-11-05,"PM2.5","251","2023-02-09","12:01:00","11",3.53,7.2,"EC_ftir",20.5884144532206,2.85950200739175,0.413856645997121,,
"CHTS",40.004,116.326,"206215","CHTS-0690-1",2022-11-05,"PM2.5","251","2023-02-09","12:01:00","12",3.53,7.2,"OC_ftir",36.2405690272237,5.03341236489218,0.871064091086527,,
"CHTS",40.004,116.326,"206215","CHTS-0690-1",2022-11-05,"PM2.5","251","2023-02-09","12:01:00","PF",3.53,7.2,"alcoholCOH",31.24875841626,4.34010533559167,,,
"CHTS",40.004,116.326,"206215","CHTS-0690-1",2022-11-05,"PM2.5","251","2023-02-09","12:01:00","PF",3.53,7.2,"alkaneCH",86.3650904672326,11.9951514537823,,,
"CHTS",40.004,116.326,"206215","CHTS-0690-1",2022-11-05,"PM2.5","251","2023-02-09","12:01:00","PF",3.53,7.2,"naCO",0,0,,,
"CHTS",40.004,116.326,"206215","CHTS-0690-1",2022-11-05,"PM2.5","251","2023-02-09","12:01:00","PF",3.53,7.2,"carboxylicCOOH",47.4177135118152,6.58579354330767,,,
"CHTS",40.004,116.326,"206215","CHTS-0690-1",2022-11-05,"PM2.5","251","2023-02-09","12:01:00","PF",3.53,7.2,"OM",165.031562395308,22.9210503326816,,,
"CHTS",40.004,116.326,"206216","CHTS-0691-2",2022-11-08,"PM2.5","251","2023-02-09","12:06:13","11",3.53,7.2,"EC_ftir",9.69812754623052,1.34696215919868,0.413856645997121,,
"CHTS",40.004,116.326,"206216","CHTS-0691-2",2022-11-08,"PM2.5","251","2023-02-09","12:06:13","12",3.53,7.2,"OC_ftir",31.8199118032953,4.41943219490213,0.871064091086527,,
"CHTS",40.004,116.326,"206216","CHTS-0691-2",2022-11-08,"PM2.5","251","2023-02-09","12:06:13","PF",3.53,7.2,"alcoholCOH",14.7411503488127,2.04738199289065,,,
"CHTS",40.004,116.326,"206216","CHTS-0691-2",2022-11-08,"PM2.5","251","2023-02-09","12:06:13","PF",3.53,7.2,"alkaneCH",34.0527142296656,4.72954364300912,,,
"CHTS",40.004,116.326,"206216","CHTS-0691-2",2022-11-08,"PM2.5","251","2023-02-09","12:06:13","PF",3.53,7.2,"naCO",9.09360677800378,1.26300094138941,,,
"CHTS",40.004,116.326,"206216","CHTS-0691-2",2022-11-08,"PM2.5","251","2023-02-09","12:06:13","PF",3.53,7.2,"carboxylicCOOH",14.6148272943478,2.02983712421497,,,
"CHTS",40.004,116.326,"206216","CHTS-0691-2",2022-11-08,"PM2.5","251","2023-02-09","12:06:13","PF",3.53,7.2,"OM",72.5022986508299,10.0697637015042,,,
"CHTS",40.004,116.326,"206217","CHTS-0692-3",2022-11-11,"PM2.5","251","2023-02-09","12:11:38","11",3.53,7.2,"EC_ftir",20.6532914822551,2.86851270586876,0.413856645997121,,
"CHTS",40.004,116.326,"206217","CHTS-0692-3",2022-11-11,"PM2.5","251","2023-02-09","12:11:38","12",3.53,7.2,"OC_ftir",30.4846665639356,4.23398146721328,0.871064091086527,,
"CHTS",40.004,116.326,"206217","CHTS-0692-3",2022-11-11,"PM2.5","251","2023-02-09","12:11:38","PF",3.53,7.2,"alcoholCOH",27.8829709711426,3.87263485710313,,,
"CHTS",40.004,116.326,"206217","CHTS-0692-3",2022-11-11,"PM2.5","251","2023-02-09","12:11:38","PF",3.53,7.2,"alkaneCH",82.6418149506471,11.4780298542565,,,
"CHTS",40.004,116.326,"206217","CHTS-0692-3",2022-11-11,"PM2.5","251","2023-02-09","12:11:38","PF",3.53,7.2,"naCO",0,0,,,
"CHTS",40.004,116.326,"206217","CHTS-0692-3",2022-11-11,"PM2.5","251","2023-02-09","12:11:38","PF",3.53,7.2,"carboxylicCOOH",66.8854234045906,9.28964213952647,,,
"CHTS",40.004,116.326,"206217","CHTS-0692-3",2022-11-11,"PM2.5","251","2023-02-09","12:11:38","PF",3.53,7.2,"OM",177.41020932638,24.6403068508861,,,
"CHTS",40.004,116.326,"206219","CHTS-0693-4",2022-11-14,"PM2.5","251","2023-02-09","12:16:57","11",3.53,7.2,"EC_ftir",18.0047630547777,2.50066153538579,0.413856645997121,,
"CHTS",40.004,116.326,"206219","CHTS-0693-4",2022-11-14,"PM2.5","251","2023-02-09","12:16:57","12",3.53,7.2,"OC_ftir",33.9974724390948,4.7218711720965,0.871064091086527,,
