n_components,rmse_mean,rmse_sd,rmse_se,n_folds,cv_scheme,is_local_minimum,within_global_one_se,selected_first_major_minimum,global_minimum_components,selection_threshold,model,df1
5,6.552753423770139,3.8307899987218987,1.7131813689336994,5,group-held-out K-fold,True,True,True,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
6,6.615988343168529,4.037102731740345,1.8054472280643017,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
7,6.863256774375012,3.7194018124823076,1.663367057669273,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
8,7.190605137204768,3.8259889448115887,1.7110342723522807,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
9,6.694635628885129,3.386316175376953,1.5144066322899932,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
10,6.615069836689974,3.451768223474986,1.5436776780527508,5,group-held-out K-fold,True,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
11,6.696073969517821,3.425968213434152,1.5321395627984542,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
12,7.041437252213828,3.5727783657714296,1.5977950588811047,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
13,7.098399321921386,3.8992310619793664,1.7437891429129118,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
14,6.940725875887662,3.7195358921676656,1.6634270199274455,5,group-held-out K-fold,True,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
15,7.295934415867552,3.8491956611133107,1.7214126313893212,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
16,7.154554029985756,3.612437407156268,1.6155311213729,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
17,6.894952356688606,3.1949870852890254,1.4288416619880357,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
18,6.878590585801905,3.1604348243310225,1.4133894211323546,5,group-held-out K-fold,True,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
19,7.070809132582714,3.0874679376681247,1.380757637395402,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
20,7.1759260605085355,3.104641078423074,1.3884376994184497,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
21,7.016349584077725,2.7762162074202603,1.2415616320056715,5,group-held-out K-fold,True,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
22,7.028698641368647,2.730533160522512,1.2211315523491364,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
23,7.080036459721964,2.9060247702099598,1.2996137860975352,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
24,7.015595735505373,2.89489584252805,1.2946367783348491,5,group-held-out K-fold,True,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
25,7.07230070154481,2.927729220229785,1.3093203112292502,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
26,6.974191428873761,2.7926867144926173,1.2489274666932078,5,group-held-out K-fold,True,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
27,6.997775753880551,2.832128870861368,1.2665665352571482,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
28,7.1159208959825735,2.968924978461454,1.327743614387382,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
