# File Updated: 2025-07-29
# Data version 3.0
# Site: Addis Ababa, Ethiopia
Site_Code,Latitude,Longitude,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28801,Sodium Ion PM2.5,0.11,Micrograms per cubic meter (ug/m3),,0.48283590000000004,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28802,Ammonium Ion PM2.5,0.47,Micrograms per cubic meter (ug/m3),,0.3186,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28803,Potassium Ion PM2.5,0.22,Micrograms per cubic meter (ug/m3),,0.30047124000000003,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28804,Magnesium Ion PM2.5,0.03,Nanograms per cubic meter (ng/m3),,0.06117301333333333,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28805,Calcium Ion PM2.5,0.2,Micrograms per cubic meter (ug/m3),,1.8345081827999996,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28801,Sodium PM2.5,290.32,Nanograms per cubic meter (ng/m3),0.1638,0.1638,0.0996,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28902,Aluminum PM2.5,283.73,Nanograms per cubic meter (ng/m3),0.019,0.019,0.0115,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28923,Silicon PM2.5,979.48,Nanograms per cubic meter (ng/m3),0.0153,0.0536,0.0326,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28924,Sulfur PM2.5,647.87,Nanograms per cubic meter (ng/m3),0.0011,0.0131,0.008,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28925,Chlorine PM2.5,43.71,Nanograms per cubic meter (ng/m3),0.0271,0.075,0.0456,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
