MediaId,CAL-0 all-nofilter,CAL-1 cleaned,CAL-2 removed-only,CAL-3 below-1:1,CAL-4 EC-high>=70,CAL-5 Eth-range
3958,26.8713,16.6705,-59.9281,33.9339,-64.8196,23.0989
3959,26.7437,13.937,-49.7722,39.5402,-10.6036,22.6232
3960,23.4322,17.9085,-34.8825,31.9982,-35.9721,25.2462
3961,29.043,19.0966,-22.6771,38.4597,-36.3995,28.5319
3962,0.2451,2.7114,-127.7253,4.8472,-103.4185,4.6468
3963,11.4714,7.2782,-106.8434,18.9876,-73.0323,11.9838
3964,39.8357,24.9148,-90.788,52.1771,-80.1629,36.7155
3965,32.4009,22.88,-137.3301,41.682,-119.0228,32.0007
3966,27.6412,19.827,-99.6856,37.5607,-106.8382,28.3562
3967,7.8619,10.1828,-118.7062,14.6417,-77.1612,12.8108
3968,37.6248,21.3043,-96.3538,51.7605,-118.8666,32.0722
3969,25.67,14.4345,-100.099,39.8746,-68.8053,22.2371
3970,-0.9463,2.4299,-127.6285,3.3217,-116.2178,4.1656
3971,8.0861,5.2739,-177.3289,17.7573,-142.226,10.8085
3972,14.1274,12.1201,-152.9692,25.7182,-91.8692,17.6277
3973,13.9911,13.4983,-140.9779,22.4177,-82.3011,17.5108
3974,12.3191,11.5443,-168.1199,20.093,-102.6375,15.057
3975,15.9352,15.2416,-207.7568,23.5146,-94.0614,18.2045
3976,22.4406,17.2737,-137.6657,28.3278,-97.8939,22.9227
3977,24.4602,18.2801,-152.4142,31.9124,-97.997,23.5844
3978,-1.2933,2.1846,-123.1888,2.7583,-94.0557,3.0099
3979,4.4429,4.5747,-213.6555,11.6254,-156.3392,9.1832
3980,34.17,25.5328,-155.0275,41.8505,-122.1558,34.3251
3981,13.5294,12.7179,-202.0253,20.1642,-143.4591,16.5853
3982,30.9236,21.4324,-172.6346,36.3237,-125.0969,28.2026
3983,35.5337,24.2123,-199.6426,43.0475,-169.1371,32.7299
3984,32.1147,22.2072,-288.1951,41.0611,-209.64,29.5685
3985,53.1758,36.5993,-161.6213,63.4729,-152.1257,48.6902
3986,-2.5804,1.6128,-147.4702,1.448,-126.4644,3.5314
3987,9.9007,7.0143,-213.7791,15.9583,-156.5064,11.4171
3988,76.1229,47.1735,-76.8215,90.9926,-85.5481,64.2983
3989,86.6049,48.6316,-73.5443,101.0513,-104.6739,67.1625
