MediaId,EC_all_nofilt_k3,EC_all_nofilt_k10,EC_all_nofilt_k18,EC_all_nofilt_k21_kmin,EC_all_nofilt_k25,EC_all_nofilt_k40
3173,1.9899,10.1026,14.4468,15.3912,15.363,12.1398
3174,1.9484,9.5352,13.8417,14.7176,15.0019,12.4066
3175,,,,,,
3176,2.0809,8.6935,12.6256,13.3233,13.2176,10.4066
3177,1.9357,8.4352,12.6397,13.5089,13.6216,10.5349
3178,1.5307,6.1755,9.4423,10.2794,10.2216,7.3826
3179,1.1581,4.9998,8.1244,8.7787,8.7733,5.7169
3180,0.4594,3.1604,5.5447,5.9329,6.1032,4.7913
3181,0.6824,3.2199,5.5521,6.1845,6.1838,4.3596
3182,1.5974,7.2948,11.1026,12.099,12.1996,8.4719
3183,,,,,,
3184,1.2242,5.8955,8.9036,9.4114,9.5986,7.3525
3185,1.222,6.0871,9.5763,10.46,10.7779,9.0034
3186,0.4824,2.0099,3.9115,4.275,4.4679,3.4803
3187,1.1761,4.4985,7.4603,8.3087,8.4157,6.5903
3188,1.9536,7.5772,11.4353,12.79,13.1335,10.8703
3189,1.437,5.376,7.791,8.7354,8.8196,7.4053
3190,2.9981,8.6958,10.4398,11.5544,10.8971,9.3602
3191,,,,,,
3192,0.6623,5.3104,9.1056,10.6204,11.5606,9.6775
445,1.5091,4.419,3.5068,4.8222,4.9087,4.3825
446,1.1083,5.2199,3.1121,4.1976,3.7172,2.0799
447,0.9742,4.3132,1.9512,2.6353,2.3598,0.5041
448,1.2539,5.2009,2.6364,3.5232,2.942,1.1033
449,0.8058,4.44,2.9629,3.7254,3.4959,1.6977
450,1.3239,5.4159,2.851,3.6595,2.9644,1.1071
451,,,,,,
452,1.5173,5.633,2.4074,3.5185,3.0084,0.5137
453,0.7121,3.2261,0.871,1.6903,1.5531,0.9136
454,0.9825,4.2558,1.3832,2.0866,2.0592,1.3958
455,0.9645,5.1224,5.2797,6.7,6.9764,5.6357
456,0.372,3.1336,2.0252,2.7567,2.8479,2.0319
458,0.9535,4.4299,1.7328,2.6253,2.0458,0.8147
459,,,,,,
460,0.8598,3.6339,1.4089,2.2604,2.6569,1.7242
3956,1.3331,5.1294,7.7897,8.9461,9.2766,7.1326
3957,0.8755,2.8353,3.3482,4.0388,4.8748,4.0085
3958,0.2994,2.4106,3.5937,4.1604,4.8291,3.8991
3959,0.674,2.3783,3.2288,4.3235,5.1019,4.1797
3960,0.7889,2.3038,3.0284,3.6369,4.1334,3.7217
3961,1.0916,2.5848,3.7867,4.4061,4.871,3.9875
3962,,,,,,
3963,0.5304,2.4451,4.1263,6.0642,7.4506,5.8471
3964,1.3263,3.4058,5.1216,6.0581,6.4989,5.4916
3965,1.0273,3.0311,4.7402,5.0117,5.6238,5.0972
3966,0.6611,2.5928,4.184,4.4619,5.0968,4.6023
3967,0.5937,1.275,1.31,1.3119,1.8605,1.5795
3968,0.8349,3.1986,5.2424,5.703,6.1093,4.5012
3969,0.8937,2.4673,3.5375,4.0556,4.8164,3.7096
3970,,,,,,
3971,0.4463,2.0345,3.2097,4.0651,6.0827,5.5539
3972,0.5085,1.4488,2.0714,2.3678,3.0166,2.6905
3973,0.5268,1.4841,2.0506,2.2754,2.8889,2.3024
3974,0.4509,1.2826,1.9108,1.9405,2.708,2.4273
3975,0.7905,1.7894,2.3483,2.7405,3.5084,3.2406
3976,0.8005,2.1832,3.4487,3.5776,4.0446,3.2383
3977,0.41,2.3626,3.5633,3.7966,4.5918,4.1877
3978,,,,,,
3979,-0.3201,1.1521,1.106,1.9945,3.5483,4.0546
3980,0.6211,3.2515,4.947,5.205,5.3517,4.0255
3981,0.1863,0.9596,2.0377,2.2135,2.8064,2.592
3982,0.3737,2.8475,4.4073,4.7116,5.1427,4.0223
3983,0.7479,2.6409,4.9909,5.469,5.803,5.1004
3984,0.6989,2.5188,4.7086,5.0468,5.5266,5.0513
3985,1.3272,4.5953,7.424,8.2187,8.1435,6.5076
3986,,,,,,
3987,0.336,2.1396,3.3365,4.9384,6.2734,5.8126
3988,1.9963,6.9378,10.3147,11.7844,11.931,9.2095
3989,2.4948,7.1895,11.5491,13.2626,13.5134,10.5736
3990,1.6218,6.0323,9.6465,10.8603,11.2491,9.2039
3991,1.9371,6.1692,9.887,11.3291,11.528,9.0997
3992,1.614,4.3401,6.817,7.8833,8.0841,6.5009
3992,1.4122,4.1678,6.7228,7.9247,8.1059,6.4739
3993,1.7232,6.3657,9.9613,11.3356,11.6546,8.9738
3994,,,,,,
3995,1.5385,4.7783,8.2318,11.8733,12.4402,11.2819
4148,1.6204,3.3468,3.0303,3.9366,4.6162,3.843
4149,1.1598,3.423,4.0192,4.952,5.6969,3.7793
4150,1.1731,2.7499,2.4105,3.4881,4.4236,3.3359
4151,1.4527,3.2735,3.4811,4.9802,6.1478,4.4733
4152,1.4418,3.4388,4.2625,5.5451,6.2432,4.163
4153,0.6016,1.9756,1.7295,2.3215,2.9145,2.2395
4154,,,,,,
4155,0.8517,3.1071,4.3719,5.1554,5.8026,3.8016
4156,0.53,3.1258,3.5152,3.6669,4.3824,3.3815
4157,1.882,5.2983,4.9168,5.0366,6.3205,4.2874
4158,1.1239,4.646,6.0535,6.6987,7.1179,5.3497
4159,2.06,4.3618,8.167,8.0501,8.6693,7.1885
4160,0.94,3.8665,4.6525,4.9964,5.6617,4.1236
4161,1.8558,5.3692,3.5088,3.5192,4.6384,4.1456
4162,,,,,,
4163,0.6084,2.3304,2.6395,3.2119,3.7904,3.5412
4460,1.0812,4.529,6.8663,7.3441,7.7351,5.4259
4461,0.772,2.006,2.8069,3.2859,3.4231,2.2959
4462,0.7949,2.0259,2.1565,2.6396,3.2091,2.2436
4460,0.825,4.1437,6.3923,7.057,7.3629,5.1108
4463,0.759,2.6402,3.9389,4.9172,5.5493,4.4112
4464,1.1558,2.5012,3.1017,4.0203,5.0084,6.6117
4465,0.3914,1.1185,1.8813,2.1154,2.7835,3.3929
4466,,,,,,
4467,0.9602,1.3236,2.2192,2.4157,3.0694,3.5783
4468,0.4101,2.3016,3.7116,4.8363,5.5862,3.8531
4469,0.704,2.4088,3.7774,4.8922,5.635,3.7983
4470,0.9772,2.5239,3.0752,3.6951,4.4488,2.7715
4471,1.0035,2.3122,3.1368,3.7617,3.8309,3.1732
4472,0.3888,1.4503,2.1802,2.5633,2.9988,2.3733
4473,1.0302,2.6948,3.1793,4.5125,5.3631,4.265
4474,,,,,,
4475,0.6278,1.2887,1.5975,2.4694,3.0488,2.2937
