MediaId,EC_all_nofilt_k3,EC_all_nofilt_k10,EC_all_nofilt_k18,EC_all_nofilt_k21_kmin,EC_all_nofilt_k25,EC_all_nofilt_k40
4153,4.427,14.537,12.7261,17.0829,21.4462,16.4793
4154,-2.2353,-0.6428,-0.2299,-2.5643,-2.8106,-4.6047
4155,6.1934,22.5946,31.7927,37.4902,42.1962,27.645
4156,3.8544,22.7305,25.5625,26.6658,31.8689,24.5905
4157,13.5372,38.1095,35.3655,36.2274,45.4619,30.8382
4158,8.0843,33.4177,43.5416,48.1828,51.1979,38.4796
4159,14.8172,31.3734,58.7434,57.9024,62.3562,51.7052
4160,6.7612,27.8108,33.4649,35.9379,40.7232,29.6599
4161,13.3082,38.5036,25.1623,25.237,33.2631,29.7287
4162,-2.5809,-1.1479,-3.6361,-4.3372,-4.7522,-7.8927
4163,4.3762,16.762,18.9854,23.1026,27.2633,25.4715
4460,7.9558,33.3261,50.5249,54.0407,56.9183,39.9259
4461,5.681,14.761,20.6544,24.1786,25.1885,16.894
4462,5.8494,14.9075,15.8687,19.4233,23.6141,16.5092
4460,6.0708,30.4912,47.0373,51.9283,54.1791,37.6071
4463,5.5851,19.4277,28.984,36.183,40.8342,32.4593
4464,8.5051,18.4045,22.8239,29.5832,36.8541,48.6516
4465,2.8801,8.2304,13.8436,15.5661,20.4818,24.9664
4466,-2.9498,-2.0336,-0.3234,-3.392,-2.6327,-3.868
4467,7.0654,9.7396,16.33,17.7755,22.5858,26.3307
4468,2.9823,16.7373,26.9907,35.1693,40.6231,28.02
4469,5.1192,17.5165,27.4695,35.5764,40.9779,27.6211
4470,7.1065,18.3535,22.3632,26.8707,32.3516,20.154
4471,7.2976,16.8141,22.8111,27.355,27.858,23.0752
4472,2.8271,10.5466,15.8547,18.64,21.8069,17.2587
4473,7.4913,19.5967,23.1195,32.8146,39.0007,31.0153
4474,-2.2181,-0.539,-0.9087,-1.7089,-1.8226,-4.328
4475,4.6199,9.4826,11.7549,18.1712,22.4341,16.878
